label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41
0.8598598997161635	1.0	0.0	1.0	0.0196	0.02	0.0	0.06666666666666667	0.1	0.016666666666666666	0.0	0.0125	0.0	0.3025	1.0	0.0	0.023333333333333334	0.004	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023333333333333334	0.004	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023333333333333334
0.8598598997161635	1.0	0.0	1.0	0.0196	0.02	0.0	0.06666666666666667	0.1	0.016666666666666666	0.0	0.0125	0.0	0.3025	1.0	0.0	0.0033333333333333335	0.004	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033333333333333335	0.004	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033333333333333335
0.8598598997161635	1.0	0.02	1.0	0.0198	0.02	0.0	0.06666666666666667	0.1	0.016666666666666666	0.0	0.0125	0.0	0.3025	1.0	0.0	0.0033333333333333335	2.0000000000000226E-4	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033333333333333335	2.0000000000000226E-4	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033333333333333335
0.8598598997161635	1.0	0.06	1.0	0.022	0.04	0.02	0.06666666666666667	0.1	0.03333333333333333	0.0	0.025	0.0	0.3025	1.0	0.0	0.006666666666666667	0.0017999999999999995	0.02	0.02	0.06666666666666667	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.006666666666666667	0.0017999999999999995	0.02	0.02	0.06666666666666667	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.006666666666666667
0.8598598997161635	1.0	0.06	1.0	0.02204	0.04	0.01	0.06666666666666667	0.1	0.03333333333333333	0.0	0.025	0.0	0.3025	1.0	0.0	0.0033333333333333335	0.0018400000000000014	0.02	0.01	0.06666666666666667	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0033333333333333335	0.0018400000000000014	0.02	0.01	0.06666666666666667	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0033333333333333335
0.8598598997161635	1.0	0.08	1.0	0.02204	0.04	0.05	0.06666666666666667	0.1	0.03333333333333333	0.0	0.025	0.0	0.3025	1.0	0.0	0.06	-0.01116	0.0	0.05	0.06666666666666667	-0.1	0.0	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.06	-0.01116	0.0	0.05	0.06666666666666667	-0.1	0.0	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.06
0.8598598997161635	1.0	0.08	1.0	0.02604	0.04	0.0	0.1	0.1	0.03333333333333333	0.0	0.025	0.0	0.3025	1.0	0.0	0.02	-0.00716	0.0	0.0	0.1	-0.1	0.0	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.02	-0.00716	0.0	0.0	0.1	-0.1	0.0	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.02
0.8598598997161635	1.0	0.08	1.0	0.02604	0.04	0.0	0.1	0.1	0.03333333333333333	0.0	0.025	0.0	0.3025	1.0	0.0	0.0033333333333333335	-0.00716	0.0	0.0	0.1	-0.1	0.0	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.0033333333333333335	-0.00716	0.0	0.0	0.1	-0.1	0.0	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.0033333333333333335
0.8598598997161635	1.0	0.12	1.0	0.02644	0.04	0.04	0.1	0.1	0.03333333333333333	0.0	0.025	0.0	0.3025	1.0	0.0	0.043333333333333335	-0.011559999999999997	0.0	0.04	0.1	-0.1	-0.03333333333333333	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.043333333333333335	-0.011559999999999997	0.0	0.04	0.1	-0.1	-0.03333333333333333	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.043333333333333335
0.8598598997161635	1.0	0.12	1.0	0.02644	0.04	0.04	0.1	0.1	0.03333333333333333	0.0	0.025	0.0	0.3025	1.0	0.0	0.02666666666666667	-0.011559999999999997	0.0	0.04	0.1	-0.1	-0.03333333333333333	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.02666666666666667	-0.011559999999999997	0.0	0.04	0.1	-0.1	-0.03333333333333333	0.0	-0.012499999999999997	0.0	0.0	0.0	0.0	0.02666666666666667
